lossfunc,kernel,decay,ngram,skip,learning_rate,pred_thresh,ACC,PRE,REC,PRF,ROC
hinge,--boosting=25,1,2,3,0.01,0.990000,0.07814,0.07814,1.00000,0.14496,0.50000
hinge,--boosting=25,1,2,3,10,0.500000,0.90946,0.44844,0.69004,0.54360,0.80905
hinge,--boosting=25,1,2,3,10,0.750000,0.90946,0.44844,0.69004,0.54360,0.80905
hinge,--boosting=25,1,2,3,10,0.900000,0.90946,0.44844,0.69004,0.54360,0.80905
hinge,--boosting=25,1,2,3,10,0.990000,0.90946,0.44844,0.69004,0.54360,0.80905
hinge,--boosting=25,1,2,3,5,0.500000,0.91638,0.47595,0.69373,0.56456,0.81449
hinge,--boosting=25,1,2,3,5,0.750000,0.91638,0.47595,0.69373,0.56456,0.81449
hinge,--boosting=25,1,2,3,5,0.900000,0.91638,0.47595,0.69373,0.56456,0.81449
hinge,--boosting=25,1,2,3,5,0.990000,0.91638,0.47595,0.69373,0.56456,0.81449
hinge,--boosting=25,1,2,3,1,0.500000,0.90898,0.44940,0.73186,0.55686,0.82792
hinge,--boosting=25,1,2,3,1,0.750000,0.90898,0.44940,0.73186,0.55686,0.82792
hinge,--boosting=25,1,2,3,1,0.900000,0.90898,0.44940,0.73186,0.55686,0.82792
hinge,--boosting=25,1,2,3,1,0.990000,0.90898,0.44940,0.73186,0.55686,0.82792
hinge,--boosting=25,1,2,3,0.75,0.500000,0.89975,0.42036,0.74662,0.53788,0.82967
hinge,--boosting=25,1,2,3,0.75,0.750000,0.89975,0.42036,0.74662,0.53788,0.82967
hinge,--boosting=25,1,2,3,0.75,0.900000,0.89975,0.42036,0.74662,0.53788,0.82967
hinge,--boosting=25,1,2,3,0.75,0.990000,0.89975,0.42036,0.74662,0.53788,0.82967
hinge,--boosting=25,1,2,3,0.5,0.500000,0.90311,0.43262,0.76999,0.55398,0.84219
hinge,--boosting=25,1,2,3,0.5,0.750000,0.90311,0.43262,0.76999,0.55398,0.84219
hinge,--boosting=25,1,2,3,0.5,0.900000,0.90311,0.43262,0.76999,0.55398,0.84219
hinge,--boosting=25,1,2,3,0.5,0.990000,0.90311,0.43262,0.76999,0.55398,0.84219
hinge,--boosting=25,1,2,3,0.1,0.500000,0.57151,0.14356,0.90283,0.24772,0.72313
hinge,--boosting=25,1,2,3,0.1,0.750000,0.57151,0.14356,0.90283,0.24772,0.72313
hinge,--boosting=25,1,2,3,0.1,0.900000,0.57151,0.14356,0.90283,0.24772,0.72313
hinge,--boosting=25,1,2,3,0.1,0.990000,0.57151,0.14356,0.90283,0.24772,0.72313
hinge,--boosting=25,1,2,3,0.01,0.500000,0.07814,0.07814,1.00000,0.14496,0.50000
hinge,--boosting=25,1,2,3,0.01,0.750000,0.07814,0.07814,1.00000,0.14496,0.50000
hinge,--boosting=25,1,2,3,0.01,0.900000,0.07814,0.07814,1.00000,0.14496,0.50000
hinge,--boosting=25,1,2,3,0.01,0.990000,0.07814,0.07814,1.00000,0.14496,0.50000
hinge,--boosting=25,1,3,2,10,0.500000,0.86659,0.33038,0.68881,0.44657,0.78523
hinge,--boosting=25,1,3,2,10,0.750000,0.86659,0.33038,0.68881,0.44657,0.78523
hinge,--boosting=25,1,3,2,10,0.900000,0.86659,0.33038,0.68881,0.44657,0.78523
hinge,--boosting=25,1,3,2,10,0.990000,0.86659,0.33038,0.68881,0.44657,0.78523
hinge,--boosting=25,1,3,2,5,0.500000,0.87361,0.34013,0.65683,0.44817,0.77440
hinge,--boosting=25,1,3,2,5,0.750000,0.87361,0.34013,0.65683,0.44817,0.77440
hinge,--boosting=25,1,3,2,5,0.900000,0.87361,0.34013,0.65683,0.44817,0.77440
hinge,--boosting=25,1,3,2,5,0.990000,0.87361,0.34013,0.65683,0.44817,0.77440
hinge,--boosting=25,1,3,2,1,0.500000,0.84641,0.29903,0.71833,0.42227,0.78779
hinge,--boosting=25,1,3,2,1,0.750000,0.84641,0.29903,0.71833,0.42227,0.78779
hinge,--boosting=25,1,3,2,1,0.900000,0.84641,0.29903,0.71833,0.42227,0.78779
hinge,--boosting=25,1,3,2,1,0.990000,0.84641,0.29903,0.71833,0.42227,0.78779
hinge,--boosting=25,1,3,2,0.75,0.500000,0.85438,0.31409,0.72940,0.43910,0.79719
hinge,--boosting=25,1,3,2,0.75,0.750000,0.85438,0.31409,0.72940,0.43910,0.79719
hinge,--boosting=25,1,3,2,0.75,0.900000,0.85438,0.31409,0.72940,0.43910,0.79719
hinge,--boosting=25,1,3,2,0.75,0.990000,0.85438,0.31409,0.72940,0.43910,0.79719
hinge,--boosting=25,1,3,2,0.5,0.500000,0.83353,0.28854,0.77122,0.41996,0.80501
hinge,--boosting=25,1,3,2,0.5,0.750000,0.83353,0.28854,0.77122,0.41996,0.80501
hinge,--boosting=25,1,3,2,0.5,0.900000,0.83353,0.28854,0.77122,0.41996,0.80501
hinge,--boosting=25,1,3,2,0.5,0.990000,0.83353,0.28854,0.77122,0.41996,0.80501
hinge,--boosting=25,1,3,2,0.1,0.500000,0.08112,0.07838,1.00000,0.14536,0.50162
hinge,--boosting=25,1,3,2,0.1,0.750000,0.08112,0.07838,1.00000,0.14536,0.50162
hinge,--boosting=25,1,3,2,0.1,0.900000,0.08112,0.07838,1.00000,0.14536,0.50162
hinge,--boosting=25,1,3,2,0.1,0.990000,0.08112,0.07838,1.00000,0.14536,0.50162
hinge,--boosting=25,1,3,2,0.01,0.500000,0.07814,0.07814,1.00000,0.14496,0.50000
hinge,--boosting=25,1,3,2,0.01,0.750000,0.07814,0.07814,1.00000,0.14496,0.50000
hinge,--boosting=25,1,3,2,0.01,0.900000,0.07814,0.07814,1.00000,0.14496,0.50000
hinge,--boosting=25,1,3,2,0.01,0.990000,0.07814,0.07814,1.00000,0.14496,0.50000
hinge,--boosting=25,1,3,2,10,0.500000,0.88966,0.38295,0.67405,0.48841,0.79099
hinge,--boosting=25,1,3,2,10,0.750000,0.88966,0.38295,0.67405,0.48841,0.79099
hinge,--boosting=25,1,3,2,10,0.900000,0.88966,0.38295,0.67405,0.48841,0.79099
hinge,--boosting=25,1,3,2,10,0.990000,0.88966,0.38295,0.67405,0.48841,0.79099
hinge,--boosting=25,1,3,2,5,0.500000,0.89350,0.39050,0.64699,0.48704,0.78069
hinge,--boosting=25,1,3,2,5,0.750000,0.89350,0.39050,0.64699,0.48704,0.78069
hinge,--boosting=25,1,3,2,5,0.900000,0.89350,0.39050,0.64699,0.48704,0.78069
hinge,--boosting=25,1,3,2,5,0.990000,0.89350,0.39050,0.64699,0.48704,0.78069
hinge,--boosting=25,1,3,2,1,0.500000,0.87860,0.36094,0.71833,0.48046,0.80526
hinge,--boosting=25,1,3,2,1,0.750000,0.87860,0.36094,0.71833,0.48046,0.80526
hinge,--boosting=25,1,3,2,1,0.900000,0.87860,0.36094,0.71833,0.48046,0.80526
hinge,--boosting=25,1,3,2,1,0.990000,0.87860,0.36094,0.71833,0.48046,0.80526
hinge,--boosting=25,1,3,2,0.75,0.500000,0.88082,0.36479,0.70849,0.48161,0.80195
hinge,--boosting=25,1,3,2,0.75,0.750000,0.88082,0.36479,0.70849,0.48161,0.80195
hinge,--boosting=25,1,3,2,0.75,0.900000,0.88082,0.36479,0.70849,0.48161,0.80195
hinge,--boosting=25,1,3,2,0.75,0.990000,0.88082,0.36479,0.70849,0.48161,0.80195
hinge,--boosting=25,1,3,2,0.5,0.500000,0.86938,0.34310,0.73432,0.46769,0.80757
hinge,--boosting=25,1,3,2,0.5,0.750000,0.86938,0.34310,0.73432,0.46769,0.80757
hinge,--boosting=25,1,3,2,0.5,0.900000,0.86938,0.34310,0.73432,0.46769,0.80757
hinge,--boosting=25,1,3,2,0.5,0.990000,0.86938,0.34310,0.73432,0.46769,0.80757
hinge,--boosting=25,1,3,2,0.1,0.500000,0.63610,0.16361,0.88930,0.27638,0.75197
hinge,--boosting=25,1,3,2,0.1,0.750000,0.63610,0.16361,0.88930,0.27638,0.75197
hinge,--boosting=25,1,3,2,0.1,0.900000,0.63610,0.16361,0.88930,0.27638,0.75197
hinge,--boosting=25,1,3,2,0.1,0.990000,0.63610,0.16361,0.88930,0.27638,0.75197
hinge,--boosting=25,1,3,2,0.01,0.500000,0.07814,0.07814,1.00000,0.14496,0.50000
hinge,--boosting=25,1,3,2,0.01,0.750000,0.07814,0.07814,1.00000,0.14496,0.50000
hinge,--boosting=25,1,3,2,0.01,0.900000,0.07814,0.07814,1.00000,0.14496,0.50000
hinge,--boosting=25,1,3,2,0.01,0.990000,0.07814,0.07814,1.00000,0.14496,0.50000
hinge,--boosting=25,1,3,3,10,0.500000,0.85688,0.30597,0.65560,0.41722,0.76477
hinge,--boosting=25,1,3,3,10,0.750000,0.85688,0.30597,0.65560,0.41722,0.76477
hinge,--boosting=25,1,3,3,10,0.900000,0.85688,0.30597,0.65560,0.41722,0.76477
hinge,--boosting=25,1,3,3,10,0.990000,0.85688,0.30597,0.65560,0.41722,0.76477
hinge,--boosting=25,1,3,3,5,0.500000,0.86178,0.30957,0.62485,0.41402,0.75336
hinge,--boosting=25,1,3,3,5,0.750000,0.86178,0.30957,0.62485,0.41402,0.75336
hinge,--boosting=25,1,3,3,5,0.900000,0.86178,0.30957,0.62485,0.41402,0.75336
hinge,--boosting=25,1,3,3,5,0.990000,0.86178,0.30957,0.62485,0.41402,0.75336
hinge,--boosting=25,1,3,3,1,0.500000,0.81075,0.25612,0.74662,0.38140,0.78140
hinge,--boosting=25,1,3,3,1,0.750000,0.81075,0.25612,0.74662,0.38140,0.78140
hinge,--boosting=25,1,3,3,1,0.900000,0.81075,0.25612,0.74662,0.38140,0.78140
hinge,--boosting=25,1,3,3,1,0.990000,0.81075,0.25612,0.74662,0.38140,0.78140
hinge,--boosting=25,1,3,3,0.75,0.500000,0.81584,0.26218,0.74785,0.38825,0.78473
hinge,--boosting=25,1,3,3,0.75,0.750000,0.81584,0.26218,0.74785,0.38825,0.78473
hinge,--boosting=25,1,3,3,0.75,0.900000,0.81584,0.26218,0.74785,0.38825,0.78473
hinge,--boosting=25,1,3,3,0.75,0.990000,0.81584,0.26218,0.74785,0.38825,0.78473
hinge,--boosting=25,1,3,3,0.5,0.500000,0.79873,0.24634,0.76507,0.37268,0.78333
hinge,--boosting=25,1,3,3,0.5,0.750000,0.79873,0.24634,0.76507,0.37268,0.78333
hinge,--boosting=25,1,3,3,0.5,0.900000,0.79873,0.24634,0.76507,0.37268,0.78333
hinge,--boosting=25,1,3,3,0.5,0.990000,0.79873,0.24634,0.76507,0.37268,0.78333
hinge,--boosting=25,1,3,3,0.1,0.500000,0.09996,0.07989,1.00000,0.14795,0.51183
hinge,--boosting=25,1,3,3,0.1,0.750000,0.09996,0.07989,1.00000,0.14795,0.51183
hinge,--boosting=25,1,3,3,0.1,0.900000,0.09996,0.07989,1.00000,0.14795,0.51183
hinge,--boosting=25,1,3,3,0.1,0.990000,0.09996,0.07989,1.00000,0.14795,0.51183
hinge,--boosting=25,1,3,3,0.01,0.500000,0.07814,0.07814,1.00000,0.14496,0.50000
hinge,--boosting=25,1,3,3,0.01,0.750000,0.07814,0.07814,1.00000,0.14496,0.50000
hinge,--boosting=25,1,3,3,0.01,0.900000,0.07814,0.07814,1.00000,0.14496,0.50000
hinge,--boosting=25,1,3,3,0.01,0.990000,0.07814,0.07814,1.00000,0.14496,0.50000
hinge,--boosting=25,1,3,3,10,0.500000,0.87514,0.34076,0.63961,0.44463,0.76736
hinge,--boosting=25,1,3,3,10,0.750000,0.87514,0.34076,0.63961,0.44463,0.76736
hinge,--boosting=25,1,3,3,10,0.900000,0.87514,0.34076,0.63961,0.44463,0.76736
hinge,--boosting=25,1,3,3,10,0.990000,0.87514,0.34076,0.63961,0.44463,0.76736
hinge,--boosting=25,1,3,3,5,0.500000,0.88533,0.36192,0.61255,0.45500,0.76050
hinge,--boosting=25,1,3,3,5,0.750000,0.88533,0.36192,0.61255,0.45500,0.76050
hinge,--boosting=25,1,3,3,5,0.900000,0.88533,0.36192,0.61255,0.45500,0.76050
hinge,--boosting=25,1,3,3,5,0.990000,0.88533,0.36192,0.61255,0.45500,0.76050
hinge,--boosting=25,1,3,3,1,0.500000,0.85679,0.31015,0.68020,0.42604,0.77598
hinge,--boosting=25,1,3,3,1,0.750000,0.85679,0.31015,0.68020,0.42604,0.77598
hinge,--boosting=25,1,3,3,1,0.900000,0.85679,0.31015,0.68020,0.42604,0.77598
hinge,--boosting=25,1,3,3,1,0.990000,0.85679,0.31015,0.68020,0.42604,0.77598
hinge,--boosting=25,1,3,3,0.75,0.500000,0.86207,0.31919,0.67528,0.43348,0.77659
hinge,--boosting=25,1,3,3,0.75,0.750000,0.86207,0.31919,0.67528,0.43348,0.77659
hinge,--boosting=25,1,3,3,0.75,0.900000,0.86207,0.31919,0.67528,0.43348,0.77659
hinge,--boosting=25,1,3,3,0.75,0.990000,0.86207,0.31919,0.67528,0.43348,0.77659
